electronics.smartphone,8110,3885230.33
electronics.audio.headphone,798,92875.48
electronics.video.tv,460,182520.69
electronics.clocks,434,113311.5
computers.notebook,416,241639.83
appliances.kitchen.washer,307,83977.7
appliances.environment.vacuum,284,38146.01
appliances.kitchen.refrigerators,232,75248.35
appliances.environment.air_heater,142,6072.59
electronics.tablet,115,27545.87
appliances.environment.water_heater,106,12151.49
electronics.telephone,93,2966.74
appliances.kitchen.kettle,88,3203.69
auto.accessories.player,86,9052.62
appliances.iron,86,4262.06
appliances.kitchen.microwave,84,7023.85
appliances.kitchen.blender,78,4285.04
computers.desktop,78,47017.48
electronics.audio.subwoofer,76,7364.16
appliances.kitchen.meat_grinder,73,5056.98
construction.tools.drill,69,5838.64
apparel.shoes,66,5611.76
apparel.shoes.keds,63,4536.62
construction.tools.saw,61,7771.88
computers.peripherals.printer,55,9185.4
kids.carriage,54,10363.69
appliances.sewing_machine,50,17850.81
furniture.bedroom.bed,48,8568.72
appliances.kitchen.oven,48,6362.62
auto.accessories.videoregister,44,4779.5
auto.accessories.alarm,44,5661.13
furniture.living_room.cabinet,43,11331.93
computers.components.hdd,40,1955.88
construction.tools.generator,40,5430.35
appliances.kitchen.mixer,34,2336.05
accessories.bag,33,1717
furniture.kitchen.chair,29,2234.62
electronics.audio.acoustic,29,5417.8
computers.peripherals.monitor,28,7942.14
kids.fmcg.diapers,25,341.8
computers.peripherals.mouse,24,710.91
appliances.kitchen.hood,24,2564.47
appliances.personal.scales,24,457.2
appliances.kitchen.dishwasher,22,9830.27
computers.components.memory,21,1110.24
computers.components.videocards,19,5031.93
appliances.personal.hair_cutter,19,576.55
appliances.kitchen.hob,18,3998.85
kids.skates,18,5771.36
appliances.kitchen.toster,18,558.07
computers.peripherals.keyboard,18,898.55
construction.tools.welding,18,1834.39
sport.bicycle,17,3982.37
kids.toys,17,654.94
appliances.ironing_board,17,471.15
furniture.living_room.sofa,17,7934.61
appliances.kitchen.grill,15,2024.94
auto.accessories.compressor,15,1774.98
appliances.kitchen.coffee_machine,14,1435.9
furniture.kitchen.table,13,1453.86
furniture.living_room.chair,13,926.49
appliances.kitchen.juicer,13,939.48
medicine.tools.tonometer,10,452.07
sport.trainer,8,2954.36
electronics.audio.music_tools.piano,8,1584.54
kids.swing,8,573.8
computers.components.cooler,8,360.95
construction.tools.pump,8,579.64
construction.components.faucet,8,574.86
appliances.environment.air_conditioner,7,1391.02
computers.components.cpu,6,985.54
kids.dolls,6,278.4
computers.components.power_supply,6,392.21
accessories.wallet,6,308.88
auto.accessories.radar,5,345.99
electronics.audio.microphone,5,354.62
electronics.camera.video,5,1840.04
furniture.bedroom.pillow,4,50.68
stationery.cartrige,4,37.22
appliances.kitchen.coffee_grinder,4,92.08
computers.components.motherboard,4,477.98
electronics.video.projector,4,1661.67
country_yard.lawn_mower,3,328.44
construction.tools.painting,3,258.12
construction.tools.light,3,44.39
furniture.bedroom.blanket,3,155.94
computers.ebooks,3,444.22
furniture.bathroom.toilet,3,171.26
appliances.personal.massager,2,77.02
apparel.tshirt,2,78.46
furniture.bathroom.bath,2,488.94
furniture.universal.light,2,246.28
apparel.underwear,2,42.35
apparel.costume,1,136.43
appliances.environment.fan,1,12.84
apparel.shoes.moccasins,1,72.07
apparel.shoes.slipons,1,95.24
accessories.umbrella,1,25.48
apparel.trousers,1,39.62
appliances.kitchen.steam_cooker,1,77.2
auto.accessories.parktronic,1,123.56
country_yard.cultivator,1,255.48
